,sample1.mapped.sorted.bam_mean,sample1.mapped.sorted.bam_var
k141_354,4.692251626109361,2.6974505233517214
k141_1837,4.497112649006622,3.531458558999605
k141_4698,35.24572200638213,125.62611347190611
k141_3259,16.004645482511588,31.246933307919246
k141_3260,4.004607701149425,4.805352845818469
k141_363,4.875242280329174,4.931615832693048
k141_4709,40.783990582524275,212.98559249060773
k141_1860,3.91121,2.4609245600000005
k141_4715,3.621596232697344,3.9707299679660917
k141_3291,4.502489770294962,2.509466132127956
k141_4717,3.0934679439252335,1.4888457061752116
k141_372,11.0298361287884,16.565404506226777
k141_1871,4.528390634390651,4.929783281939942
k141_387,21.043096564825696,54.772928322706306
k141_1890,2.6904861904761908,1.0307356235827665
k141_3317,4.351607160603371,5.821154299122372
k141_4761,6.557199135310241,14.87968233826222
k141_1894,5.4232825731242045,5.584097467458872
k141_3323,40.716752081447964,212.8215849063287
k141_1897,12.006032518984027,18.907279306641364
k141_4773,7.425812662490211,10.194387292303013
k141_3341,9.010621419909045,11.684755069992544
k141_433,31.11618262423714,80.97539796671352
k141_1920,13.682968760637136,17.872220141655195
k141_3342,11.103495670023237,19.70920776489922
k141_4793,24.046496486486486,87.3473985561237
k141_3344,101.88551724637682,1740.3808144528462
k141_4801,6.772512064409579,12.439171287155109
k141_449,23.66396774075579,52.02564716034337
k141_3345,4.5514986642993716,3.1935484831411007
k141_1933,10.175497465181058,15.60174039768946
k141_1938,12.526038277634962,28.00704461102557
k141_4817,14.16143735768904,41.66242472843876
k141_459,20.47047545606345,58.5576328056842
k141_4819,52.9595115576324,338.28497423753646
k141_3351,4.708145235076597,3.0402871882619236
k141_1944,6.049152618151401,4.977728838296616
k141_3360,4.010555905707196,3.091089850870334
k141_471,4.280765881218665,3.9520384298005435
k141_1951,4.865645179153094,5.790045128577845
k141_4841,27.323124019979332,92.75334070935563
k141_3372,7.153368681875792,7.393897113848366
k141_3380,8.269300523045054,10.646809030562697
k141_486,15.185558617305976,44.37191534130273
k141_4851,6.992325680166147,7.2379571817582855
k141_3385,2.8819028431755966,0.7916922990375558
k141_1965,27.755395017877387,50.52175544127898
k141_1966,4.409789614325068,5.061429510658804
k141_3394,26.99607852007863,91.47373787399076
k141_4875,23.34121945134161,69.71858811271805
k141_4876,6.9948614851485145,5.986914185864131
k141_1982,22.406595836318544,63.68741220405401
k141_3403,16.03118048346056,37.79134119994303
k141_1984,3.2686306896551724,2.229577063020214
k141_4887,3.932060368258494,2.3403679010030713
k141_1991,3.5121233060007455,2.6419616651341693
k141_2003,16.708464810495627,44.10305804970719
k141_563,11.013502063492064,18.879193043587804
k141_569,6.535020940919037,9.0392656344536
k141_3458,19.25177056338028,43.60035901309264
k141_4945,4.3174887316318635,4.984677425108367
k141_2036,8.155396565272497,9.325674901264373
k141_3469,6.092599691367695,5.294429472411356
k141_594,6.617803240556659,6.441237469510307
k141_3470,5.266213128880059,7.490109390573771
k141_4971,4.861283666092943,6.16493023663871
k141_3472,13.747030189734858,22.864252519417235
k141_2069,8.858296629303442,10.465115471086236
k141_4986,14.247629047619046,30.207477876039302
k141_2075,11.046570402684564,20.739033404069637
k141_3478,4.1402091614255765,5.840679142724663
k141_616,57.852566109725686,431.10327029922075
k141_3484,13.474929093851133,35.43627415203025
k141_4998,7.804129547657512,11.01535651882629
k141_5005,8.359032556390977,9.32036092430324
k141_2097,3.389715882352941,1.4829432468281432
k141_3497,24.394299844597036,82.9186329777899
k141_5008,9.234480377019748,11.63803184696808
k141_626,7.377986911277953,9.339503993815827
k141_5011,48.757073882063885,268.02176599837605
k141_2107,4.825072885890693,2.376221549898555
k141_627,7.09860649122807,8.382218556478916
k141_5025,6.063319352517985,2.864587057778238
k141_2109,8.51371771611762,11.10235360415669
k141_3528,14.319000807744963,21.898841604257377
k141_2112,7.314153567874911,12.50260313646005
k141_3534,2.7611341217798597,1.2333464412682567
k141_5049,3.2711671675302245,3.5979863811705615
k141_2116,7.768118776266996,13.32472842574498
k141_3540,4.202288325123153,2.320854562929214
k141_5051,4.8505280069067584,4.105933510652563
k141_3552,12.460204963444355,29.064834982297945
k141_3558,14.23891784982935,34.7217726297336
k141_5074,4.439508178874949,3.2532293353872137
k141_2137,20.697267026752456,69.4112351208658
k141_3574,5.456974006259781,6.522805790566734
k141_2154,10.682997848463188,28.255839242883074
k141_702,17.025123609184405,30.47366775437351
k141_3576,8.098189133858268,8.014731093895312
k141_5090,13.55001,15.63586978835979
k141_3580,25.647444193033767,76.25167119116266
k141_709,17.178143681974177,22.334351279073072
k141_3597,2.9545379383429675,1.2896571278321658
k141_2194,6.308486960956736,3.6660197450724383
k141_719,5.2559511146161935,4.5542728104126375
k141_3600,12.260916515580735,21.2636658354533
k141_5122,13.60380596678529,17.430220976164044
k141_722,6.071682938761546,9.879067310752465
k141_2209,6.80504144654088,6.6806936611037395
k141_3617,7.186750623349181,6.552301172554709
k141_5126,6.335742347792258,4.402368678799953
k141_2223,20.065722426805465,62.78163852628018
k141_3628,3.075052637862422,1.1774371585003756
k141_3640,5.90764968072976,3.2849041248260478
k141_2239,11.380408671096346,33.17163338164038
k141_3645,4.882221538461538,3.327825438767963
k141_2250,17.215551490857948,63.62267985446698
k141_3653,4.037047037037037,2.3011073936899864
k141_3665,13.171689197994986,15.848982368264018
k141_5175,18.836294086284084,46.854464730853806
k141_3669,9.302077464635474,13.681126509050262
k141_802,5.899952329873125,4.5655463288540865
k141_2284,28.299178975069253,109.46244698252775
k141_5190,34.879283041973174,126.79114681467354
k141_816,2.9100775260896254,1.497447012014813
k141_3689,4.192289942279942,2.5817252924836906
k141_821,5.935682514619883,3.465772215422745
k141_2304,34.13307233062331,125.40967568988184
k141_3694,30.93169168168168,159.6499972620368
k141_830,4.342436319396847,2.8900194659556786
k141_5219,17.417254157937148,30.645095394859094
k141_3710,60.758448818565405,512.8430295036408
k141_5224,14.106701449814127,26.5213406891834
k141_3715,9.612536745769305,14.870687548642763
k141_2358,5.242947853107344,3.583803503356847
k141_858,4.228581428571428,3.3174828094830757
k141_2382,58.39174014145811,361.0313235463276
k141_5262,10.951330253724738,12.870040341308327
k141_2386,8.788210806156101,12.298133879061275
k141_884,15.878592521530425,31.451877989342954
